x,y
778,1282
811,1295
555,1121
464,1302
386,1616
555,1753
571,1982
394,1944
149,1629
80,1533
241,1069
235,1059
401,980
240,619
47,363
202,233
278,165
264,36
547,25
366,339
460,267
387,199
634,294
1017,333
931,512
781,670
981,848
997,942
1021,962
1009,1001
1179,969
1264,1090
1109,1196
1393,859
1725,927
1819,814
1766,692
1766,678
1604,706
1529,581
1541,354
1346,408
1203,385
1272,246
1828,456
1962,389
2347,388
2334,523
2067,694
2223,990
2740,1101
2901,920
2982,949
3023,871
3060,781
2993,624
2944,632
2597,349
2658,360
2592,248
2581,121
2656,128
2995,264
3062,329
3452,637
3599,514
3600,459
3503,301
3538,125
3766,154
3946,459
3935,540
3868,697
3642,699
3332,1049
3535,1112
3918,1217
3805,1619
3786,1862
3373,1902
3248,1906
3220,1945
2927,1777
3007,1524
2834,1512
2374,1944
2214,1977
2050,1833
1994,1852
2028,1736
2221,1578
2356,1568
1787,1902
1646,1817
1632,1742
1623,1723
1768,1578
1699,1294
1677,1238
1082,1561
778,1282
