 0mm rants,alpha,beta,rho,max_iter,found_length,gap_%,convergence_iter
30,1.0,5.0,0.1,1000,2831.030817642669,9.772424104019729,865
20,1.0,3.0,0.1,1000,2845.0045575266968,10.314251939771104,744
20,1.0,3.0,0.5,1000,2865.2546988530185,11.099445477046082,598
30,1.0,5.0,0.3,1000,2866.393471516007,11.143601066925442,374
10,1.0,3.0,0.1,1000,2881.9711737783564,11.747622092995595,934
20,1.0,5.0,0.1,1000,2884.4341500518262,11.843123305615597,555
10,1.0,5.0,0.1,1000,2884.50589486846,11.845905190711905,399
30,1.5,5.0,0.1,1000,2885.9386956377084,11.90146163775527,157
20,1.0,5.0,0.5,1000,2890.925870845513,12.094837954459603,801
30,1.0,5.0,0.5,1000,2900.127853256702,12.451642235622415,292
30,1.5,3.0,0.1,1000,2909.5598279802452,12.817364404042081,135
10,1.0,3.0,0.3,1000,2914.0868620529063,12.99289887758458,609
30,1.0,3.0,0.3,1000,2925.219750533684,13.42457349878573,446
30,1.0,3.0,0.1,1000,2939.3206675066044,13.971332590407307,593
30,1.5,3.0,0.3,1000,2941.20590187249,14.04443202297363,42
20,1.5,3.0,0.1,1000,2941.3928950470527,14.051682630750395,125
20,1.0,5.0,0.3,1000,2947.239135661148,14.278368967085997,716
10,1.0,5.0,0.5,1000,2956.0481694504583,14.619936775899896,434
30,1.0,1.0,0.5,1000,2965.9713909806683,15.00470690115038,309
10,1.5,5.0,0.1,1000,2967.691699889956,15.071411395500425,647
20,1.5,5.0,0.1,1000,2969.729280964709,15.150418028875873,142
20,1.0,3.0,0.3,1000,2982.882682578419,15.660437478806474,899
20,1.0,1.0,0.3,1000,3000.3546654462443,16.33790870284003,975
30,1.5,5.0,0.3,1000,3005.2613105088726,16.528162485803513,28
10,1.0,5.0,0.3,1000,3006.5727269036465,16.579012287849807,264
20,1.5,3.0,0.3,1000,3010.001325574794,16.711955237487167,310
30,1.0,3.0,0.5,1000,3019.8112937172536,17.09233399446505,208
20,1.5,5.0,0.3,1000,3024.7394334675255,17.2834212278994,70
10,0.5,5.0,0.3,1000,3037.905977252659,17.79395026183245,400
20,0.5,5.0,0.3,1000,3045.7502108529966,18.09810821454039,238
10,1.0,3.0,0.5,1000,3047.77988216618,18.176808149134548,464
