ants,alpha,beta,rho,max_iter,found_length,gap_%,convergence_iter
30,1.0,3.0,0.1,1000,7548.992710024181,0.09271691890985387,831
20,1.0,3.0,0.1,1000,7548.992710024182,0.09271691890986593,754
30,0.5,5.0,0.5,1000,7548.992710024182,0.09271691890986593,417
20,0.5,5.0,0.3,1000,7596.71870412897,0.7255198107792347,186
20,1.0,3.0,0.5,1000,7663.208686362925,1.6071159687473444,151
20,0.5,5.0,0.5,1000,7663.585128495864,1.6121072460337365,547
20,1.0,3.0,0.3,1000,7663.585128495864,1.6121072460337365,999
30,1.0,3.0,0.5,1000,7663.585128495864,1.6121072460337365,136
30,1.0,5.0,0.5,1000,7663.585128495864,1.6121072460337365,695
10,1.0,3.0,0.3,1000,7677.660844311166,1.7987383228741227,452
10,1.0,5.0,0.1,1000,7681.45365625258,1.8490275292041898,680
20,1.0,5.0,0.3,1000,7681.45365625258,1.8490275292041898,289
20,1.0,5.0,0.5,1000,7681.45365625258,1.8490275292041898,514
20,1.5,3.0,0.1,1000,7681.45365625258,1.8490275292041898,108
30,1.0,3.0,0.3,1000,7681.45365625258,1.8490275292041898,804
20,1.0,5.0,0.1,1000,7681.453656252581,1.849027529204202,1000
30,1.0,5.0,0.3,1000,7681.453656252581,1.849027529204202,63
30,1.5,5.0,0.3,1000,7681.453656252581,1.849027529204202,36
10,1.0,5.0,0.3,1000,7687.862121300267,1.9339978957871529,325
30,1.0,5.0,0.1,1000,7698.878958648028,2.080071050756138,541
30,1.5,3.0,0.1,1000,7703.973364874053,2.1476182030502917,90
30,1.5,5.0,0.1,1000,7704.415742583886,2.153483725588514,153
30,0.5,5.0,0.3,1000,7709.12029460519,2.2158617688304147,629
10,1.0,3.0,0.1,1000,7721.136363531643,2.3751838177093996,216
30,0.5,5.0,0.1,1000,7739.3012006359,2.616032890955985,156
10,0.5,5.0,0.5,1000,7754.588135905502,2.8187236264320075,550
20,0.5,5.0,0.1,1000,7786.7488259799775,3.245144868469603,365
10,0.5,5.0,0.1,1000,7791.375634100068,3.3064920989136577,673
10,0.5,5.0,0.3,1000,7791.37563410007,3.3064920989136817,447
10,1.0,5.0,0.5,1000,7837.40921756102,3.916855178480779,24
20,1.5,5.0,0.1,1000,7847.396817420323,4.049281588707542,96
20,0.5,3.0,0.5,1000,7870.528119484743,4.355981430452705,835
20,1.5,3.0,0.3,1000,7870.655213099171,4.35766657516801,111
30,1.5,1.0,0.1,1000,7873.447749967681,4.39469305181227,114
30,0.5,3.0,0.5,1000,7885.959857221527,4.560592113783178,326
10,1.0,3.0,0.5,1000,7905.034661527788,4.813506517207474,57
10,1.5,3.0,0.1,1000,7929.3675726379615,5.136138592388777,116
10,1.0,1.0,0.3,1000,7932.553888831925,5.178386221584795,777
10,0.5,3.0,0.3,1000,7943.7118592288625,5.326330671292263,653
10,1.5,5.0,0.5,1000,7969.886705629216,5.673385118393206,173
10,0.5,3.0,0.5,1000,7986.9306118054665,5.899371676020505,693
20,0.5,3.0,0.3,1000,7998.825552208351,6.057087671815844,725
10,0.5,3.0,0.1,1000,8033.131269274962,6.5119500036457385,359
30,1.5,3.0,0.3,1000,8044.541749257972,6.663242498779791,31
10,1.5,5.0,0.3,1000,8066.696538342745,6.956994674393331,35
20,0.5,3.0,0.1,1000,8074.170289649293,7.056089759338284,332
