ants,alpha,beta,rho,max_iter,found_length,gap_%,convergence_iter
20,1.0,3.0,0.1,1000,22741.01365566181,6.795405539878882,248
30,1.0,1.0,0.3,1000,22768.471083560325,6.924349974454426,573
20,1.0,1.0,0.5,1000,22831.97076745568,7.222554557413738,584
10,1.0,3.0,0.1,1000,22903.831498279287,7.560023942327826,912
30,1.0,3.0,0.1,1000,22913.661412067628,7.606186775935135,498
30,1.5,3.0,0.5,1000,22962.437705031924,7.835247980801745,68
30,1.0,3.0,0.5,1000,22970.5295899558,7.873248755310418,132
20,0.5,5.0,0.5,1000,22975.75556675303,7.897790770888648,844
30,1.0,5.0,0.3,1000,22989.968915123343,7.964538908252764,143
10,1.0,3.0,0.5,1000,22992.301851657307,7.975494748085407,948
30,1.0,3.0,0.3,1000,22999.748748399303,8.01046655583405,281
20,0.5,5.0,0.1,1000,23012.11293974909,8.068530758660145,676
30,1.0,5.0,0.1,1000,23016.507412981835,8.089167901671058,553
10,0.5,5.0,0.1,1000,23068.309963269225,8.33244089071675,582
30,1.0,5.0,0.5,1000,23075.36786943309,8.365585937039018,966
30,0.5,5.0,0.1,1000,23080.300271655185,8.388749279868438,401
20,1.0,5.0,0.1,1000,23093.31614069115,8.449873864427301,836
30,1.5,5.0,0.5,1000,23096.716100931662,8.465840616754308,60
10,1.0,5.0,0.1,1000,23120.174373348622,8.576004383153103,104
10,0.5,5.0,0.3,1000,23121.599536508827,8.582697175302092,99
30,0.5,5.0,0.5,1000,23126.11166625002,8.603886851930218,462
10,1.5,3.0,0.1,1000,23149.684745522165,8.714589769522705,172
10,1.5,5.0,0.1,1000,23155.293354791313,8.740928687852506,667
20,1.5,5.0,0.1,1000,23160.227158224217,8.76409861099003,361
10,1.5,3.0,0.3,1000,23190.127533154406,8.90451551213678,45
30,1.5,5.0,0.3,1000,23194.47600666081,8.924936633139902,27
20,1.5,5.0,0.5,1000,23197.35559050588,8.93845961541222,36
10,1.0,5.0,0.3,1000,23200.066348483924,8.951189764646962,52
30,1.5,3.0,0.1,1000,23203.448511738872,8.967072939508181,103
20,1.0,3.0,0.3,1000,23224.178696542705,9.064425173958417,375
10,1.0,5.0,0.5,1000,23224.960130235144,9.068094910468414,29
20,1.0,1.0,0.1,1000,23227.86809762102,9.081751186348361,654
20,1.0,5.0,0.3,1000,23236.959631681293,9.124446471688238,290
10,1.0,1.0,0.1,1000,23238.127656247263,9.129931700231348,783
20,1.0,5.0,0.5,1000,23257.914473720564,9.222853732133766,536
20,1.5,3.0,0.1,1000,23298.012135241624,9.411158707812644,124
20,0.5,5.0,0.3,1000,23308.739241344036,9.461534898769774,107
30,0.5,5.0,0.3,1000,23311.906091819164,9.476406930680776,921
20,1.5,5.0,0.3,1000,23345.162442071927,9.63258402400642,905
10,1.5,5.0,0.3,1000,23362.893063329517,9.715849832485755,31
10,0.5,5.0,0.5,1000,23363.54203896202,9.718897524946085,510
10,1.0,3.0,0.3,1000,23407.925331961975,9.92732850550378,65
20,1.0,3.0,0.5,1000,23421.377831242862,9.99050357491717,548
30,1.5,5.0,0.1,1000,23437.97668557175,10.068454426466374,787
30,1.0,1.0,0.1,1000,23515.11954784026,10.43072953808706,965
30,1.5,3.0,0.3,1000,23523.01935354532,10.4678282781315,39
10,1.5,3.0,0.5,1000,23555.321181177667,10.619522781899443,284
10,1.5,5.0,0.5,1000,23642.91276825267,11.03086676177642,30
20,1.0,1.0,0.3,1000,23706.403789447642,11.329030663321323,914
30,0.5,3.0,0.3,1000,23712.069167571914,11.355636177195048,230
10,0.5,3.0,0.3,1000,23758.495176721288,11.573660076647355,868
30,1.0,1.0,0.5,1000,23798.398390795413,11.761051896287281,572
10,0.5,3.0,0.5,1000,23811.702879391123,11.82353188405712,249
20,1.5,3.0,0.3,1000,23816.951302574747,11.848179311424566,77
30,1.5,1.0,0.1,1000,23854.235607101888,12.023272316623872,145
20,0.5,3.0,0.5,1000,23984.83522220515,12.636588814713773,101
30,0.5,3.0,0.5,1000,24057.679197536123,12.97867567172031,532
20,1.5,3.0,0.5,1000,24069.78442278304,13.035523728670231,38
10,0.5,3.0,0.1,1000,24347.360782198248,14.339066320081937,648
20,0.5,3.0,0.3,1000,24477.641826672625,14.950886759991663,242
30,0.5,3.0,0.1,1000,24569.741160469755,15.383399833144336,641
20,1.5,1.0,0.1,1000,24621.470295543775,15.626328052708626,161
20,0.5,3.0,0.1,1000,24687.114169873712,15.934602093893641,253
10,1.5,1.0,0.1,1000,24936.159373130955,17.104157852592067,143
30,1.5,1.0,0.3,1000,25084.650897747666,17.801497594381825,51
10,1.0,1.0,0.3,1000,25422.63539022521,19.388726355899355,306
10,1.0,1.0,0.5,1000,25626.17790640094,20.34459428196177,217
30,1.5,1.0,0.5,1000,25821.783521048594,21.26318926011362,58
20,1.5,1.0,0.3,1000,25920.14333692901,21.72510254968071,39
20,1.5,1.0,0.5,1000,27380.420175865132,28.58279410099151,107
10,1.5,1.0,0.3,1000,27415.588550735352,28.74795036505754,119
10,1.5,1.0,0.5,1000,27700.139652828762,30.08424745387791,815
10,0.5,1.0,0.5,1000,34238.71032608417,60.790411975599554,236
30,0.5,1.0,0.5,1000,35434.363173767,66.40538730988541,324
20,0.5,1.0,0.3,1000,36027.48261817006,69.19077025533043,265
10,0.5,1.0,0.3,1000,36543.48730912216,71.61401009261839,243
20,0.5,1.0,0.5,1000,36559.029051388214,71.68699657832353,749
30,0.5,1.0,0.3,1000,38876.687409734004,82.57108767603083,440
10,0.5,1.0,0.1,1000,40132.248463029,88.46740144185685,546
30,0.5,1.0,0.1,1000,41716.455373556004,95.90708825751857,853
20,0.5,1.0,0.1,1000,41895.732325788544,96.74900124818514,524
