ants,alpha,beta,rho,max_iter,found_length,gap_%
10,0.5,5.0,0.5,1000,116728.23218431721,7.92281010763525
30,1.5,3.0,0.1,1000,117509.18460959835,8.64485120017599
20,0.5,5.0,0.3,1000,117809.52512597463,8.922535457959697
10,0.5,5.0,0.1,1000,118190.32570232556,9.274610251875071
30,0.5,5.0,0.5,1000,118260.75102433599,9.339723022897758
30,0.5,5.0,0.3,1000,118513.29070092001,9.573212308656712
20,0.5,3.0,0.1,1000,118640.8107268539,9.691112830974678
10,1.5,5.0,0.3,1000,119030.873256052,10.051750900111871
30,0.5,5.0,0.1,1000,119306.15561982771,10.306267273021858
10,0.5,3.0,0.5,1000,119476.84410812474,10.46407983443333
20,0.5,5.0,0.5,1000,119483.0590555967,10.469825955858234
20,0.5,5.0,0.1,1000,119513.65641906993,10.498115199909327
30,0.5,3.0,0.5,1000,119583.82287738113,10.562988634677769
10,0.5,5.0,0.3,1000,120319.61005254176,11.24327152852907
20,1.5,3.0,0.5,1000,120495.9814656774,11.406338321986516
20,0.5,3.0,0.3,1000,120529.29516888042,11.437138998031063
30,0.5,3.0,0.3,1000,120635.99615585776,11.535790970569035
30,1.5,5.0,0.3,1000,120777.85600242075,11.66694958572172
30,1.5,5.0,0.5,1000,120882.22576125123,11.763446186864925
10,0.5,3.0,0.3,1000,121014.11806623315,11.885389164316559
10,1.5,5.0,0.1,1000,121199.04317063105,12.056364399292754
10,0.5,3.0,0.1,1000,121360.56253713476,12.205699513803527
20,0.5,3.0,0.5,1000,121560.69036368706,12.390730649957058
10,1.5,3.0,0.5,1000,121630.24863262856,12.45504177426618
30,1.5,5.0,0.1,1000,121646.49028070451,12.470058229740026
20,1.5,5.0,0.1,1000,121751.77582614914,12.567401534915392
20,1.5,1.0,0.1,1000,122212.59380397914,12.993457598516201
10,1.5,3.0,0.1,1000,122222.57941953729,13.002689946779544
20,1.5,3.0,0.1,1000,122363.52970089467,13.13300760999516
20,1.5,5.0,0.3,1000,122501.56044271289,13.26062596983412
10,1.5,5.0,0.5,1000,122614.43448453616,13.364985331351217
20,1.5,5.0,0.5,1000,122868.95861210591,13.600309370561774
30,1.5,3.0,0.5,1000,122969.52221504711,13.69328693409435
20,1.5,3.0,0.3,1000,123139.19757172656,13.85016278971381
30,1.5,3.0,0.3,1000,123283.66068587758,13.983728294342198
30,0.5,3.0,0.1,1000,123663.64528548706,14.335048664916519
30,1.5,1.0,0.1,1000,124210.99976742036,14.841113330763378
10,1.5,3.0,0.3,1000,125816.64312135447,16.3256345947674
30,1.5,1.0,0.5,1000,126641.72794820646,17.08847895062497
10,1.5,1.0,0.1,1000,126763.1050293129,17.20069992262585
10,1.5,1.0,0.5,1000,128509.19521722078,18.815073380135523
30,1.5,1.0,0.3,1000,129504.92915301284,19.7356938886388
20,1.5,1.0,0.3,1000,130411.79163915852,20.57414698652772
20,1.5,1.0,0.5,1000,131723.20981937746,21.786638023074786
10,1.5,1.0,0.3,1000,144921.31492113,33.98914091395999
10,0.5,1.0,0.3,1000,160401.6477068515,48.3017110983381
20,0.5,1.0,0.5,1000,165858.75701943733,53.34716206643675
10,0.5,1.0,0.5,1000,166466.88671201118,53.90941735039265
20,0.5,1.0,0.3,1000,170743.3169231185,57.86325402705137
30,0.5,1.0,0.5,1000,174206.6763909537,61.06535414616787
30,0.5,1.0,0.3,1000,183181.2878503656,69.36296364645162
10,0.5,1.0,0.1,1000,189230.78088542193,74.95611172941867
20,0.5,1.0,0.1,1000,194021.4110824785,79.38535959326408
30,0.5,1.0,0.1,1000,202209.09578180406,86.95540434157496
